calJac240_pri	GCA_049354715.1	GCF_049354715.1	Callithrix jacchus					240	male		Chromosome	2025-04-08	JBLWJF01	24
calJac240_pri	GCF_049354715.1	GCA_049354715.1	Callithrix jacchus					240	male	GCF_049354715.1-RS_2025_12	Chromosome	2025-04-08	JBLWJF01	24
NDDB_SH_1	GCA_019923935.1	GCF_019923935.1	Bubalus bubalis	Murrah				160015118507	female		Chromosome	2021-09-10	VDCB01	25
NDDB_SH_1	GCF_019923935.1	GCA_019923935.1	Bubalus bubalis	Murrah				160015118507	female	NCBI Bubalus bubalis Annotation Release 103	Chromosome	2021-09-10	VDCB01	25
Bosgru_T2T1.0	GCA_055505025.1	GCF_055505025.1	Bos grunniens			Pamir		PY7600			Chromosome	2026-02-24	JBTWXA01	30
Bosgru_T2T1.0	GCF_055505025.1	GCA_055505025.1	Bos grunniens			Pamir		PY7600		GCF_055505025.1-RS_2026_07	Chromosome	2026-02-25	JBTWXA01	30
NHGRI_mPanTro3-v2.1_pri	GCA_028858775.3	GCF_028858775.2	Pan troglodytes					AG18354	male		Chromosome	2024-12-09	JAQQLN02	25
NHGRI_mPanTro3-v2.1_pri	GCF_028858775.2	GCA_028858775.3	Pan troglodytes					AG18354	male	GCF_028858775.2-RS_2026_05	Chromosome	2024-01-08	JAQQLN02	25
HU_Pman_BW_mat_3.1	GCA_049852395.1	GCF_049852395.1	Peromyscus maniculatus bairdii					BWxNUB_F1_BW_parent	female		Chromosome	2025-04-22	JBMNXS01	24
HU_Pman_BW_mat_3.1	GCF_049852395.1	GCA_049852395.1	Peromyscus maniculatus bairdii					BWxNUB_F1_BW_parent	female	GCF_049852395.1-RS_2025_08	Chromosome	2025-04-22	JBMNXS01	24
ASM5500010v1	GCA_055000105.1	GCF_055000105.1	Myodes glareolus					2345	female		Chromosome	2026-02-04		28
ASM5500010v1	GCF_055000105.1	GCA_055000105.1	Myodes glareolus					2345	female	GCF_055000105.1-RS_2026_07	Chromosome	2026-02-04		28
NHGRI_mGorGor1-v2.1_pri	GCA_029281585.3	GCF_029281585.2	Gorilla gorilla gorilla					KB3781	male		Chromosome	2024-08-01	JARGGP02	25
NHGRI_mGorGor1-v2.1_pri	GCF_029281585.2	GCA_029281585.3	Gorilla gorilla gorilla					KB3781	male	GCF_029281585.2-RS_2025_04	Chromosome	2024-01-08	JARGGP02	25
NHGRI_mPonPyg2-v2.1_pri	GCA_028885625.3	GCF_028885625.2	Pongo pygmaeus					AG05252	male		Chromosome	2024-01-08	JAQQLS02	25
NHGRI_mPonPyg2-v2.1_pri	GCF_028885625.2	GCA_028885625.3	Pongo pygmaeus					AG05252	male	GCF_028885625.2-RS_2026_05	Chromosome	2024-01-08	JAQQLS02	25
ASM4859323v1	GCA_048593235.1	GCF_048593235.1	Sminthopsis crassicaudata					SCR6	female		Chromosome	2025-03-17	JBMDME01	7
ASM4859323v1	GCF_048593235.1	GCA_048593235.1	Sminthopsis crassicaudata					SCR6	female	GCF_048593235.1-RS_2025_05	Chromosome	2025-03-17	JBMDME01	7
UCONN_HLeu1	GCA_047372625.1		Hoolock leuconedys					Betty	female		Chromosome	2025-02-03	JBHMFN01	19
ASM4749690v1	GCA_047496905.1		Tamias sibiricus					Ts-1	male		Chromosome	2025-02-07	JBKZWZ01	19
NHGRI_mSymSyn1-v2.1_pri	GCA_028878055.3	GCF_028878055.3	Symphalangus syndactylus					Jambi	male		Chromosome	2024-06-20	JAQQLG02	26
NHGRI_mSymSyn1-v2.1_pri	GCF_028878055.3	GCA_028878055.3	Symphalangus syndactylus					Jambi	male	GCF_028878055.3-RS_2026_05	Chromosome	2024-01-05	JAQQLG02	26
ASM5194280v1	GCA_051942805.1		Lepus tolai	LTO_1					male		Chromosome	2025-08-12	JBPRAB01	25
ASM5946939v1	GCA_059469395.1		Acomys dimidiatus				Jordan	SL-2024	female		Chromosome	2026-07-16	JBNCOH01	19
ASM4859324v1	GCA_048593245.1		Dasyurus maculatus					Chaos	male		Chromosome	2025-03-17	JBMDMB01	6
ASM2622585v1	GCA_026225855.1		Neophocaena sunameri					NAS202207	male		Chromosome	2022-11-18	JANJGR01	23
mAcoKem2_REL_1905	GCA_907164505.1		Acomys kempi								Chromosome	2021-07-06		19
GRCm39	GCA_000001635.9	GCF_000001635.27	Mus musculus		C57BL/6J						Chromosome	2020-06-24		101
GRCm39	GCF_000001635.27	GCA_000001635.9	Mus musculus		C57BL/6J					GCF_000001635.27-RS_2024_02	Chromosome	2020-06-24		101
GRCr8	GCA_036323735.1	GCF_036323735.1	Rattus norvegicus		BN/NHsdMcwi				male		Chromosome	2024-01-31	JAXUCZ01	76
